#"Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)"
500,1.0000000000000007,-5592.145847768008,269.0632772760879,1.0354540749300927
1000,2.0000000000000013,-5365.498692062724,279.0796496023276,1.0115079482273086
1500,2.999999999999891,-5347.121166132344,311.8349643620812,1.0242803960098237
2000,3.999999999999781,-5390.647502187567,346.6108639013565,1.0392847967746608
2500,4.999999999999671,-5394.946613791592,293.09612486882156,1.028074827470247
3000,5.999999999999561,-5531.4916772918195,312.10904745006417,1.006820788740365
3500,6.999999999999451,-5394.598332779844,317.1242223689893,0.9937495367701535
4000,7.999999999999341,-5403.619848631142,317.81776104213696,0.9975147477553744
4500,8.999999999999675,-5447.26630268187,280.5568374808596,1.0080934030911595
5000,10.000000000000009,-5588.847181111963,285.68129376734595,1.0048387956434588
5500,11.000000000000343,-5613.94091220389,287.60875417313866,0.9784264122012818
6000,12.000000000000677,-5565.2774138871,295.76149345195853,0.9970749382948639
6500,13.00000000000101,-5563.983864141664,286.2305969509067,0.967214190895104
7000,14.000000000001345,-5486.61754872342,311.5778842262877,0.944610706227582
7500,15.000000000001679,-5461.534884240041,300.97525194114445,0.9626631633172688
8000,16.00000000000201,-5330.926188557817,288.69460491322064,0.9493690759228657
8500,17.000000000001457,-5397.052067234739,313.85604546225653,0.998504197277411
9000,18.000000000000902,-5431.393136901458,321.4433690777381,1.0256109525963146
9500,19.000000000000348,-5496.789318717344,316.5347927725207,1.0118723740265732
10000,19.999999999999794,-5447.378039255319,309.24892184230697,1.0179356994359614
10500,20.99999999999924,-5339.571398673453,297.05715559801024,0.985904460310743
11000,21.999999999998685,-5388.937774063955,289.2687174792862,1.0076143045445407
11500,22.99999999999813,-5372.538810373577,304.4457375606456,0.9757002828412118
12000,23.999999999997577,-5516.334014175857,300.7844110661213,1.0185878221296354
12500,24.999999999997023,-5398.512629304746,292.7419204735425,1.0236298085128421
13000,25.99999999999647,-5360.361721090827,296.87768097563253,1.0503838407317687
13500,26.999999999995914,-5319.292797761353,288.62656048372173,0.9882480329205147
14000,27.99999999999536,-5319.841074355196,294.84902915135757,0.994981963683095
14500,28.999999999994806,-5458.545743825254,297.85299747326985,1.006428051670945
15000,29.99999999999425,-5472.155587144619,283.5961374268525,0.9843716393140182
15500,30.999999999993697,-5465.295145102954,294.6761106188281,1.0168705854669735
16000,31.999999999993143,-5511.107224909214,296.7489642442747,1.0290627422252976
16500,32.999999999994365,-5396.087304624847,309.75678092792896,0.9917842040327761
17000,33.99999999999559,-5329.57156706617,310.99483274864474,0.991768185299408
17500,34.99999999999681,-5432.837162976663,282.9253751261723,0.9958927885769956
18000,35.99999999999803,-5426.001760312384,304.9589942191108,0.9883187074376062
18500,36.999999999999254,-5375.517184085969,298.79092518026357,1.0010669422090916
19000,38.000000000000476,-5306.453223593224,307.76145408891097,0.9907704436198338
19500,39.0000000000017,-5351.804735155268,282.3431392654087,0.9978841385800393
20000,40.00000000000292,-5534.1127273123075,291.4828524649876,1.0296478749565288
20500,41.00000000000414,-5484.385043333666,294.578797101363,1.004931404729267
21000,42.000000000005365,-5382.9347038304295,294.70392557252165,1.059381881758003
21500,43.00000000000659,-5417.589658000483,307.3738249034822,1.0186954354519495
22000,44.00000000000781,-5426.015095120577,290.64440517484434,1.0023276341927736
22500,45.00000000000903,-5440.677437173968,298.78836427115397,0.982995755308512
23000,46.00000000001025,-5465.949634531116,297.91086123201796,0.9814403326215162
23500,47.000000000011475,-5436.4436634190715,291.79082836069557,0.9710633642560534
24000,48.0000000000127,-5488.130485982345,311.1143022245404,0.9628111948843732
24500,49.00000000001392,-5425.31069969352,283.4669792087643,0.9860537559396763
25000,50.00000000001514,-5439.837854855696,303.36249837789063,1.001855580170553
