#"Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)"
500,1.0000000000000007,-5835.995468820297,274.2881034047331,0.9350917250689463
1000,2.0000000000000013,-5713.618738083162,296.57455616737354,0.9510374367174628
1500,2.999999999999891,-5708.548477054024,280.71599728443476,0.9873129767157882
2000,3.999999999999781,-5793.771946165428,321.8657280311047,1.0073142663227677
2500,4.999999999999671,-5960.7427703768235,299.3997172344954,0.9858241484719793
3000,5.999999999999561,-5866.488373809966,306.926710982704,0.991648985432155
3500,6.999999999999451,-5746.543513578431,295.5059576097892,0.9677520359730708
4000,7.999999999999341,-5776.667316534255,286.2630544389331,0.994661811826351
4500,8.999999999999675,-5917.608041013615,311.6274544242774,0.98561028388128
5000,10.000000000000009,-5761.722888638296,304.25194619000297,0.997951658183595
5500,11.000000000000343,-5839.383827826811,318.42018436137005,0.9912368277598105
6000,12.000000000000677,-5764.149352806858,295.08998422435525,1.0121819697589847
6500,13.00000000000101,-5768.455181564641,281.3883887940101,1.0095168527461071
7000,14.000000000001345,-5740.122348251952,274.0145564535561,1.0206076768702619
7500,15.000000000001679,-5815.328116818084,317.6258801640872,1.0113093506695465
8000,16.00000000000201,-5836.730825828088,304.5063673684304,1.0197187088062267
8500,17.000000000001457,-5946.2992510160475,299.89862147162137,1.030936627420468
9000,18.000000000000902,-5837.703929459417,295.33921029396464,1.0245320359150603
9500,19.000000000000348,-5887.129059671778,296.2499508562547,0.9887566527205259
10000,19.999999999999794,-5834.251612836545,270.926137106674,0.9915201035624341
10500,20.99999999999924,-5825.922136874169,290.8415509601876,1.0096332751975956
11000,21.999999999998685,-5742.044349586971,278.0075099063135,1.0112017212052729
11500,22.99999999999813,-5951.080846034533,299.2329502260238,1.0273605645449702
12000,23.999999999997577,-5934.683973892442,287.7160392223884,1.0484599376059662
12500,24.999999999997023,-5862.706419742127,296.6366131357867,1.0467061744345054
13000,25.99999999999647,-5774.438380492116,276.59198850026326,1.0323790275797686
13500,26.999999999995914,-5701.940035402263,293.1826979363591,1.0257464956072122
14000,27.99999999999536,-5772.890597951805,346.880680194033,0.9983508434660575
14500,28.999999999994806,-5715.994586618686,305.9902957703523,1.0059927600833265
15000,29.99999999999425,-5754.579128200429,302.93653752911393,0.9910127510487374
15500,30.999999999993697,-5809.899503140504,305.9962924902413,1.0065872535677727
16000,31.999999999993143,-5770.004703323756,312.8257763014918,0.970694506257401
16500,32.999999999994365,-5801.17856952527,328.1103206584225,0.9778116931662133
17000,33.99999999999559,-5829.719319032164,305.27139677049354,0.9981774419743067
17500,34.99999999999681,-5807.867210505647,308.8659444430185,0.9831192617415678
18000,35.99999999999803,-5841.221610272184,329.4163603499611,1.0092465442264023
18500,36.999999999999254,-5734.716078181985,292.16843333818593,1.0002466651744901
19000,38.000000000000476,-5759.057355074177,290.47019331856666,0.9792701353675827
19500,39.0000000000017,-5775.795128515446,293.88860670225125,0.9918250701499733
20000,40.00000000000292,-5699.287821976772,308.31288450303333,0.98212549601947
20500,41.00000000000414,-5823.6793294311265,303.50974504456275,0.9999784155921719
21000,42.000000000005365,-5801.462387097907,302.5946331583999,0.9771195841143628
21500,43.00000000000659,-5772.647990196934,313.88006177429907,0.998739541954766
22000,44.00000000000781,-5876.88431188843,326.84784016316235,0.9882273118473072
22500,45.00000000000903,-5879.991595220938,265.1993727673172,0.9844581000617164
