#"Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)"
500,1.0000000000000007,-6120.266381182193,268.73227738800244,0.9544668504748219
1000,2.0000000000000013,-6189.5234075377675,314.8098269919406,0.9910634131025771
1500,2.999999999999891,-6115.854780729309,283.3443129546747,1.045137645993104
2000,3.999999999999781,-6158.205073727913,309.85538240647054,1.03715486135434
2500,4.999999999999671,-6110.613119821923,284.97682034852255,1.038116728331898
3000,5.999999999999561,-6139.045648757838,331.7956466348787,1.057043925198235
3500,6.999999999999451,-6021.900547698715,303.76823398946453,1.073420718776909
4000,7.999999999999341,-6111.574134271731,303.4491055431034,1.0807192319990293
4500,8.999999999999675,-6117.408981271872,307.7971638505549,1.0595992380213874
5000,10.000000000000009,-6049.398477541054,339.8363809086025,1.0270698194441708
5500,11.000000000000343,-6106.409396388631,313.6666848079891,1.0535450077615343
6000,12.000000000000677,-6108.507585416518,310.2972711033844,1.0560830481968617
6500,13.00000000000101,-6053.791591813619,300.9253356644472,1.113876467686697
7000,14.000000000001345,-6162.600508910826,322.2362569998996,1.077063517789619
7500,15.000000000001679,-6057.8994745957,330.2290010723451,1.0254248326946127
8000,16.00000000000201,-6071.192888030393,325.24104616565023,1.0192842864622813
8500,17.000000000001457,-6109.477004122894,316.0917850426843,1.0282512494428915
9000,18.000000000000902,-6072.433356942003,304.51026975503464,1.0311007045212912
9500,19.000000000000348,-6031.4877905196845,281.3412120848948,1.037916895564335
10000,19.999999999999794,-6062.955258530686,302.7647740188255,1.0199619583657509
10500,20.99999999999924,-6046.015403087165,297.18061571466035,1.0369660158503844
11000,21.999999999998685,-6124.586484154372,305.8623177982611,1.0652464052974955
11500,22.99999999999813,-6106.875635601613,290.97719324328284,1.0342361370925788
12000,23.999999999997577,-6182.201437658203,288.99745570281846,1.047429142535031
12500,24.999999999997023,-6191.04827872913,297.8114859349927,1.0540175005048777
13000,25.99999999999647,-6105.3609451614,285.9739789906458,1.0188757625001144
13500,26.999999999995914,-6206.159364767122,316.5297021240032,1.023557366301507
14000,27.99999999999536,-6233.26015101093,313.6504366055637,1.0737399711189084
14500,28.999999999994806,-6166.34043335231,278.22120673689926,1.0388043847560102
15000,29.99999999999425,-6105.025378805902,293.8755029380778,1.0553129523879645
15500,30.999999999993697,-6123.9281936160305,277.41761118338246,1.037618872191511
16000,31.999999999993143,-6198.0972217748385,300.69554138273725,1.0442426982429547
16500,32.999999999994365,-6210.293116481071,293.0638162752096,1.0587469069762487
17000,33.99999999999559,-6153.692522940936,288.1154501338253,1.01500018784032
17500,34.99999999999681,-6168.964392076517,304.1972190681505,1.0392222728516773
18000,35.99999999999803,-6116.913768871687,303.1953038803047,1.0460636538438735
18500,36.999999999999254,-6283.01571371179,314.9328997231292,1.034678998339258
19000,38.000000000000476,-6237.278094931385,319.7910301922758,1.0567922531790603
19500,39.0000000000017,-6239.793718802484,298.17077429746314,1.0243806321435478
20000,40.00000000000292,-6239.620659640162,299.81238424649314,1.023753155603441
20500,41.00000000000414,-6227.63954027478,285.7837258346827,1.0284944667541942
21000,42.000000000005365,-6208.405013711696,283.7490979490201,1.0334086455090543
21500,43.00000000000659,-6156.211318219546,284.56606383507466,1.0253164908943049
22000,44.00000000000781,-6229.720016956576,291.4318195952583,1.024634282918961
22500,45.00000000000903,-6238.065027521011,296.91439053622463,1.0144649569915976
23000,46.00000000001025,-6202.720662621178,312.18956244770516,0.9960602330610099
23500,47.000000000011475,-6181.919774058706,287.0372909994513,0.9894171702427198
24000,48.0000000000127,-6088.640474379616,295.07090048310897,1.0374581751982384
24500,49.00000000001392,-6061.791358514655,269.5382520985254,1.0330857324864542
25000,50.00000000001514,-6188.529048081005,300.0687627614766,1.0557013824696022
25500,51.000000000016364,-6245.302245798147,294.09986022958367,1.0413636121072303
