      Step     Time          Energy          fmax
BFGS:    0 05:07:32   -10396.609374        1.737336
BFGS:    1 05:08:03   -10396.691267        0.573685
BFGS:    2 05:08:30   -10396.708719        0.340842
BFGS:    3 05:08:57   -10396.714222        0.306372
BFGS:    4 05:09:25   -10396.724883        0.349044
BFGS:    5 05:09:50   -10396.736405        0.389034
BFGS:    6 05:10:17   -10396.743439        0.272293
BFGS:    7 05:10:44   -10396.751417        0.181231
BFGS:    8 05:11:11   -10396.759185        0.211872
BFGS:    9 05:11:37   -10396.764425        0.238565
BFGS:   10 05:12:03   -10396.767084        0.183005
BFGS:   11 05:12:31   -10396.769327        0.162443
BFGS:   12 05:12:59   -10396.772707        0.212921
BFGS:   13 05:13:26   -10396.777320        0.252481
BFGS:   14 05:13:53   -10396.780993        0.205976
BFGS:   15 05:14:20   -10396.782111        0.359192
BFGS:   16 05:14:47   -10396.785107        0.145664
BFGS:   17 05:15:16   -10396.786171        0.102263
BFGS:   18 05:15:43   -10396.788078        0.119089
BFGS:   19 05:16:11   -10396.788761        0.089401
BFGS:   20 05:16:37   -10396.789581        0.082220
BFGS:   21 05:17:03   -10396.790647        0.111278
BFGS:   22 05:17:30   -10396.792557        0.179226
BFGS:   23 05:17:56   -10396.794725        0.208910
BFGS:   24 05:18:23   -10396.796537        0.131733
BFGS:   25 05:18:50   -10396.797705        0.087857
BFGS:   26 05:19:19   -10396.798387        0.203505
BFGS:   27 05:19:48   -10396.799051        0.197783
BFGS:   28 05:20:14   -10396.800046        0.126316
BFGS:   29 05:20:42   -10396.801007        0.103208
BFGS:   30 05:21:08   -10396.801686        0.087775
BFGS:   31 05:21:34   -10396.802830        0.125923
BFGS:   32 05:22:00   -10396.803799        0.150781
BFGS:   33 05:22:27   -10396.804499        0.075207
BFGS:   34 05:22:53   -10396.805035        0.078739
BFGS:   35 05:23:20   -10396.805459        0.088343
BFGS:   36 05:23:47   -10396.806058        0.084646
BFGS:   37 05:24:15   -10396.806460        0.051071
BFGS:   38 05:24:44   -10396.806698        0.044234
BFGS:   39 05:25:12   -10396.806886        0.035303
BFGS:   40 05:25:40   -10396.807130        0.053955
BFGS:   41 05:26:08   -10396.807374        0.053519
BFGS:   42 05:26:34   -10396.807562        0.034466
BFGS:   43 05:27:01   -10396.807701        0.030982
BFGS:   44 05:27:27   -10396.807840        0.037768
BFGS:   45 05:27:53   -10396.807994        0.044411
BFGS:   46 05:28:19   -10396.808125        0.034169
BFGS:   47 05:28:42   -10396.808217        0.024132
