      Step     Time          Energy          fmax
BFGS:    0 06:29:57   -12464.480010        0.493526
BFGS:    1 06:31:54   -12464.488164        0.316165
BFGS:    2 06:33:44   -12464.492927        0.188369
BFGS:    3 06:35:18   -12464.508421        0.249916
BFGS:    4 06:36:56   -12464.513666        0.189574
BFGS:    5 06:38:33   -12464.524015        0.217900
BFGS:    6 06:40:08   -12464.534288        0.218707
BFGS:    7 06:41:44   -12464.541150        0.178170
BFGS:    8 06:43:18   -12464.544163        0.175867
BFGS:    9 06:44:53   -12464.547209        0.169482
BFGS:   10 06:46:28   -12464.552725        0.232715
BFGS:   11 06:48:02   -12464.560423        0.258164
BFGS:   12 06:49:24   -12464.567242        0.181503
BFGS:   13 06:50:30   -12464.571091        0.158688
BFGS:   14 06:51:36   -12464.573919        0.150380
BFGS:   15 06:52:42   -12464.577955        0.184000
BFGS:   16 06:53:46   -12464.584179        0.249869
BFGS:   17 06:54:52   -12464.591171        0.243278
BFGS:   18 06:55:57   -12464.596912        0.166102
BFGS:   19 06:57:02   -12464.599381        0.079538
BFGS:   20 06:58:06   -12464.600177        0.060101
BFGS:   21 06:59:11   -12464.600986        0.063806
BFGS:   22 07:00:15   -12464.602023        0.078709
BFGS:   23 07:01:20   -12464.603386        0.110523
BFGS:   24 07:02:25   -12464.605071        0.131864
BFGS:   25 07:03:30   -12464.606891        0.122878
BFGS:   26 07:04:35   -12464.608413        0.085421
BFGS:   27 07:05:40   -12464.609276        0.074831
BFGS:   28 07:06:45   -12464.609825        0.063001
BFGS:   29 07:07:52   -12464.610329        0.049913
BFGS:   30 07:09:00   -12464.610956        0.058631
BFGS:   31 07:10:08   -12464.611590        0.058417
BFGS:   32 07:11:11   -12464.612219        0.055370
BFGS:   33 07:12:14   -12464.612689        0.040611
BFGS:   34 07:13:17   -12464.613006        0.046826
BFGS:   35 07:14:20   -12464.613285        0.051737
BFGS:   36 07:15:25   -12464.613603        0.049275
BFGS:   37 07:16:29   -12464.613965        0.042653
BFGS:   38 07:17:33   -12464.614388        0.038828
BFGS:   39 07:18:37   -12464.614788        0.037011
BFGS:   40 07:19:39   -12464.615050        0.036736
BFGS:   41 07:20:44   -12464.615245        0.034627
BFGS:   42 07:21:48   -12464.615490        0.041378
BFGS:   43 07:22:52   -12464.615827        0.036709
BFGS:   44 07:23:53   -12464.616276        0.037985
BFGS:   45 07:24:55   -12464.616627        0.031861
BFGS:   46 07:25:57   -12464.616866        0.032896
BFGS:   47 07:26:59   -12464.616998        0.030081
BFGS:   48 07:28:02   -12464.617184        0.033006
BFGS:   49 07:29:04   -12464.617529        0.040229
BFGS:   50 07:30:06   -12464.618031        0.055939
BFGS:   51 07:31:09   -12464.618539        0.060004
BFGS:   52 07:32:12   -12464.618976        0.054514
BFGS:   53 07:33:14   -12464.619558        0.061992
BFGS:   54 07:34:17   -12464.620417        0.071322
BFGS:   55 07:35:20   -12464.621434        0.063121
BFGS:   56 07:36:23   -12464.622078        0.148697
BFGS:   57 07:37:25   -12464.622541        0.088916
BFGS:   58 07:38:28   -12464.623047        0.056252
BFGS:   59 07:39:31   -12464.623527        0.066251
BFGS:   60 07:40:34   -12464.624004        0.042951
BFGS:   61 07:41:36   -12464.624694        0.049741
BFGS:   62 07:42:39   -12464.625043        0.052300
BFGS:   63 07:43:43   -12464.625364        0.055404
BFGS:   64 07:44:44   -12464.625707        0.037670
BFGS:   65 07:45:46   -12464.626085        0.041576
BFGS:   66 07:46:48   -12464.626456        0.061083
BFGS:   67 07:47:50   -12464.626955        0.090004
BFGS:   68 07:48:51   -12464.627731        0.079804
BFGS:   69 07:49:54   -12464.628844        0.099313
BFGS:   70 07:50:57   -12464.630147        0.091956
BFGS:   71 07:51:59   -12464.631210        0.064219
BFGS:   72 07:53:01   -12464.631872        0.074721
BFGS:   73 07:54:03   -12464.632202        0.057857
BFGS:   74 07:55:06   -12464.632717        0.047055
BFGS:   75 07:56:08   -12464.633141        0.049154
BFGS:   76 07:57:11   -12464.633680        0.059764
BFGS:   77 07:58:14   -12464.634237        0.062635
BFGS:   78 07:59:16   -12464.634724        0.047567
BFGS:   79 08:00:19   -12464.635059        0.045752
BFGS:   80 08:01:23   -12464.635412        0.043821
BFGS:   81 08:02:27   -12464.635896        0.056410
BFGS:   82 08:03:29   -12464.636434        0.063922
BFGS:   83 08:04:33   -12464.636863        0.062906
BFGS:   84 08:05:36   -12464.637156        0.049907
BFGS:   85 08:06:39   -12464.637361        0.037890
BFGS:   86 08:07:41   -12464.637550        0.024282
BFGS:   87 08:08:44   -12464.637703        0.025468
BFGS:   88 08:09:47   -12464.637870        0.034860
BFGS:   89 08:10:49   -12464.638071        0.041098
BFGS:   90 08:11:52   -12464.638347        0.039517
BFGS:   91 08:12:55   -12464.638626        0.030820
BFGS:   92 08:13:59   -12464.638816        0.021149
BFGS:   93 08:15:00   -12464.638917        0.019202
BFGS:   94 08:16:03   -12464.638997        0.023864
BFGS:   95 08:17:05   -12464.639107        0.031334
BFGS:   96 08:18:07   -12464.639267        0.052910
BFGS:   97 08:19:10   -12464.639492        0.042341
BFGS:   98 08:20:14   -12464.639758        0.047970
BFGS:   99 08:21:16   -12464.639976        0.025687
BFGS:  100 08:22:19   -12464.640101        0.018679
BFGS:  101 08:23:25   -12464.640154        0.014924
