      Step     Time          Energy          fmax
BFGS:    0 05:07:17    -6231.270940        0.562229
BFGS:    1 05:07:26    -6231.276015        0.317181
BFGS:    2 05:07:34    -6231.277674        0.109696
BFGS:    3 05:07:45    -6231.279000        0.128733
BFGS:    4 05:07:56    -6231.280963        0.185520
BFGS:    5 05:08:07    -6231.282405        0.138278
BFGS:    6 05:08:18    -6231.284142        0.168475
BFGS:    7 05:08:26    -6231.286822        0.186890
BFGS:    8 05:08:35    -6231.290018        0.276682
BFGS:    9 05:08:45    -6231.292540        0.203288
BFGS:   10 05:08:55    -6231.293578        0.077235
BFGS:   11 05:09:02    -6231.293972        0.069055
BFGS:   12 05:09:11    -6231.294807        0.152913
BFGS:   13 05:09:22    -6231.296180        0.240036
BFGS:   14 05:09:30    -6231.297671        0.214611
BFGS:   15 05:09:39    -6231.298376        0.083765
BFGS:   16 05:09:48    -6231.298607        0.032593
BFGS:   17 05:09:57    -6231.298704        0.048508
BFGS:   18 05:10:05    -6231.298789        0.052944
BFGS:   19 05:10:14    -6231.298915        0.036812
BFGS:   20 05:10:24    -6231.299020        0.033275
BFGS:   21 05:10:34    -6231.299159        0.043356
BFGS:   22 05:10:43    -6231.299356        0.057882
BFGS:   23 05:10:52    -6231.299571        0.055890
BFGS:   24 05:11:02    -6231.299708        0.034542
BFGS:   25 05:11:11    -6231.299778        0.029851
