      Step     Time          Energy          fmax
BFGS:    0 23:07:28    -4159.415579        0.506037
BFGS:    1 23:07:31    -4159.418501        0.213161
BFGS:    2 23:07:33    -4159.419211        0.086989
BFGS:    3 23:07:36    -4159.419615        0.070969
BFGS:    4 23:07:39    -4159.420032        0.078135
BFGS:    5 23:07:42    -4159.420253        0.053403
BFGS:    6 23:07:45    -4159.420528        0.062935
BFGS:    7 23:07:48    -4159.421127        0.115602
BFGS:    8 23:07:52    -4159.422078        0.176479
BFGS:    9 23:07:55    -4159.423076        0.163746
BFGS:   10 23:07:59    -4159.423671        0.084515
BFGS:   11 23:08:03    -4159.423801        0.041712
BFGS:   12 23:08:06    -4159.423863        0.042590
BFGS:   13 23:08:10    -4159.424078        0.090627
BFGS:   14 23:08:13    -4159.424378        0.111994
BFGS:   15 23:08:17    -4159.424794        0.106422
BFGS:   16 23:08:21    -4159.425111        0.065737
BFGS:   17 23:08:25    -4159.425294        0.044548
BFGS:   18 23:08:28    -4159.425402        0.047474
BFGS:   19 23:08:32    -4159.425452        0.031174
BFGS:   20 23:08:35    -4159.425469        0.013783
BFGS:   21 23:08:39    -4159.425478        0.015450
BFGS:   22 23:08:42    -4159.425495        0.024162
BFGS:   23 23:08:46    -4159.425536        0.038739
BFGS:   24 23:08:50    -4159.425632        0.060997
BFGS:   25 23:08:53    -4159.425828        0.089757
BFGS:   26 23:08:57    -4159.426111        0.094093
BFGS:   27 23:09:00    -4159.426363        0.045969
BFGS:   28 23:09:03    -4159.426445        0.014643
BFGS:   29 23:09:07    -4159.426448        0.021349
BFGS:   30 23:09:10    -4159.426455        0.006477
BFGS:   31 23:09:13    -4159.426456        0.005760
BFGS:   32 23:09:16    -4159.426457        0.003760
BFGS:   33 23:09:19    -4159.426457        0.001269
